model,tier,policy,workload,accelerator,mean_ttft_ms,mean_tpot_ms,mean_latency_ms,p99_ttft_ms,p99_tpot_ms,num_requests,generated_tokens_total,mean_stall_ms_per_request,shadow_hit_rate,evict_npu_to_cpu_bytes,evict_npu_to_cxl_bytes,load_cpu_to_npu_bytes,load_cxl_to_npu_bytes,evicpress_compression_events,evicpress_compressed_bytes_saved,evicpress_ratio_sum,harp_prefetch_bytes_total,harp_prefetch_bytes_progress,harp_prefetch_overlap_bytes,harp_stall_time_ns,harp_stall_events,harp_shadow_hit_tokens,harp_decode_tokens_total,harp_shadow_ratio_sum,harp_shadow_ratio_events,tier_transition_bytes_total,tier_transition_mb_total,evicpress_avg_ratio,stall_overlap_ratio,harp_avg_shadow_ratio,transition_mb_per_generated_token,eviction_events_total
llama8b,cpu_dram,random,fixed_256,A6000,115753.51996804297,69.38535185546874,151209.43501001562,246448.09900435,120.16644519999997,256.0,131072.0,0.0,0.0,10234101760.0,0.0,10234101760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20468203520.0,19520.0,1.0,0.0,1.0,0.14892578125,275.0
llama8b,cpu_dram,random,sharegpt_300,A6000,80625.13515276334,84.52407859,100009.04228675,168561.02322899998,387.8721010799996,300.0,83334.0,0.0,0.0,6469713920.0,0.0,6469713920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12939427840.0,12340.0,1.0,0.0,1.0,0.14807881536947703,166.0
llama8b,cpu_dram,smallest_kv,fixed_256,A6000,90501.2098391328,52.43648880859375,117296.25588385937,190003.01364025,90.53984089999996,256.0,131072.0,0.0,0.0,5825888256.0,0.0,5825888256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11651776512.0,11112.0,1.0,0.0,1.0,0.08477783203125,287.0
llama8b,cpu_dram,smallest_kv,sharegpt_300,A6000,94701.71953757001,127.8784402,121462.74971431334,220743.575207,676.2752808099997,300.0,83334.0,0.0,0.0,3435134976.0,0.0,3435134976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6870269952.0,6552.0,1.0,0.0,1.0,0.07862337101303189,426.0
llama8b,cpu_dram,tail,fixed_256,A6000,92344.40771678125,49.924898296875,117856.0310110039,196257.4316364,89.82116979999996,256.0,131072.0,0.0,0.0,4649385984.0,0.0,4649385984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9298771968.0,8868.0,1.0,0.0,1.0,0.067657470703125,220.0
llama8b,cpu_dram,tail,sharegpt_300,A6000,61335.110550263336,60.29185582333333,75789.31542933999,127627.74389099999,259.78790274999983,300.0,83334.0,0.0,0.0,4735369216.0,0.0,4735369216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9470738432.0,9032.0,1.0,0.0,1.0,0.10838313293493652,181.0
llama8b,cxl,evicpress,fixed_256,A6000,120530.93430852343,62.18825725,152309.13402535938,241409.3785914,143.45305804999998,256.0,131072.0,0.0,0.0,36538679296.0,0.0,36538679296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73077358592.0,69692.0,1.0,0.0,1.0,0.531707763671875,640.0
llama8b,cxl,evicpress,sharegpt_300,A6000,89962.26382245333,104.817841,112923.71090870333,194339.612064,483.32724337999986,300.0,83334.0,0.0,0.0,3605004288.0,0.0,3605004288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7210008576.0,6876.0,1.0,0.0,1.0,0.08251133990928072,337.0
llama8b,cxl,fifo,fixed_256,A6000,683682.2143914141,530.5593990957032,954798.0675882499,1529101.51353125,714.5505667499999,256.0,131072.0,0.0,0.0,0.0,25432162304.0,0.0,25432162304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50864324608.0,48508.0,1.0,0.0,1.0,0.370086669921875,510.0
llama8b,cxl,fifo,sharegpt_300,A6000,198037.55753905332,204.8022957683333,244462.02893511334,426442.441242,1042.10513174,300.0,83334.0,0.0,0.0,0.0,14011072512.0,0.0,14011072512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28022145024.0,26724.0,1.0,0.0,1.0,0.32068543451652387,216.0
llama8b,cxl,harp,fixed_256,A6000,80914.21163473047,61.00716744921875,112088.87445509374,171695.04937114997,95.51581419999998,256.0,131072.0,0.0,0.029713490704500977,0.0,8434745344.0,0.0,8434745344.0,0.0,0.0,0.0,8434745344.0,8434745344.0,8434745344.0,0.0,0.0,3887.0,130816.0,243.0,243.0,16869490688.0,16088.0,1.0,1.0,1.0,0.12274169921875,243.0
llama8b,cxl,harp,sharegpt_300,A6000,34542.963989686665,43.64298630333333,45643.82448022,70063.338724,88.80873229,300.0,83334.0,0.0,0.013139195992003276,0.0,6914310144.0,0.0,6914310144.0,0.0,0.0,0.0,6914310144.0,6914310144.0,6914310144.0,0.0,0.0,1091.0,83034.0,71.0,71.0,13828620288.0,13188.0,1.0,1.0,1.0,0.1582547339621283,71.0
llama8b,cxl,largest_kv,fixed_256,A6000,558182.3437045116,345.91166899999996,734943.2068307226,1198590.9842213998,603.8745917499999,256.0,131072.0,0.0,0.0,0.0,28252831744.0,0.0,28252831744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56505663488.0,53888.0,1.0,0.0,1.0,0.4111328125,492.0
llama8b,cxl,largest_kv,sharegpt_300,A6000,70613.57158252333,74.44466360666667,86570.29301533333,147277.80769760997,248.61159296999995,300.0,83334.0,0.0,0.0,0.0,16886267904.0,0.0,16886267904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33772535808.0,32208.0,1.0,0.0,1.0,0.38649290805673553,95.0
llama8b,cxl,lru,fixed_256,A6000,95182.93613251172,60.673938625,126187.31903760937,213353.21908774995,92.52901554999998,256.0,131072.0,0.0,0.0,0.0,7537164288.0,0.0,7537164288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15074328576.0,14376.0,1.0,0.0,1.0,0.10968017578125,299.0
llama8b,cxl,lru,sharegpt_300,A6000,69277.15699405667,70.14577376,85893.06019775999,145460.39143699998,272.5294305199998,300.0,83334.0,0.0,0.0,0.0,6721372160.0,0.0,6721372160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13442744320.0,12820.0,1.0,0.0,1.0,0.1538387692898457,165.0
llama8b,cxl,random,fixed_256,A6000,110912.25578721483,63.546799152343745,143384.67039202343,232348.47368435,112.05432244999999,256.0,131072.0,0.0,0.0,0.0,9187622912.0,0.0,9187622912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18375245824.0,17524.0,1.0,0.0,1.0,0.133697509765625,257.0
llama8b,cxl,random,sharegpt_300,A6000,74673.02022134334,74.13059804666666,92201.49036291,158346.65592357997,310.3674601099995,300.0,83334.0,0.0,0.0,0.0,7314866176.0,0.0,7314866176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14629732352.0,13952.0,1.0,0.0,1.0,0.16742266061871505,161.0
llama8b,cxl,smallest_kv,fixed_256,A6000,90560.32113064453,52.4653361015625,117370.10812078515,190122.80707225,90.60192719999995,256.0,131072.0,0.0,0.0,0.0,5825888256.0,0.0,5825888256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11651776512.0,11112.0,1.0,0.0,1.0,0.08477783203125,287.0
llama8b,cxl,smallest_kv,sharegpt_300,A6000,94735.1106555,127.91261776333333,121503.72637535667,220816.663213,676.3971954799996,300.0,83334.0,0.0,0.0,0.0,3435134976.0,0.0,3435134976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6870269952.0,6552.0,1.0,0.0,1.0,0.07862337101303189,426.0
llama8b,cxl,tail,fixed_256,A6000,92398.98094586328,49.947796515625,117922.30521873046,196357.1513414,89.88367519999996,256.0,131072.0,0.0,0.0,0.0,4649385984.0,0.0,4649385984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9298771968.0,8868.0,1.0,0.0,1.0,0.067657470703125,220.0
llama8b,cxl,tail,sharegpt_300,A6000,61380.858677059994,60.32721383,75844.00187333666,127725.281316,259.89793391999984,300.0,83334.0,0.0,0.0,0.0,4735369216.0,0.0,4735369216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9470738432.0,9032.0,1.0,0.0,1.0,0.10838313293493652,181.0
llama8b,ethernet,evicpress,fixed_256,A6000,120530.93430852343,62.18825725,152309.13402535938,241409.3785914,143.45305804999998,256.0,131072.0,0.0,0.0,36538679296.0,0.0,36538679296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73077358592.0,69692.0,1.0,0.0,1.0,0.531707763671875,640.0
llama8b,ethernet,evicpress,sharegpt_300,A6000,89962.26382245333,104.817841,112923.71090870333,194339.612064,483.32724337999986,300.0,83334.0,0.0,0.0,3605004288.0,0.0,3605004288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7210008576.0,6876.0,1.0,0.0,1.0,0.08251133990928072,337.0
llama8b,ethernet,fifo,fixed_256,A6000,687555.9269404141,533.5822796484374,960216.4721089217,1537846.19225835,718.6065250249999,256.0,131072.0,0.0,0.0,0.0,25432162304.0,0.0,25432162304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50864324608.0,48508.0,1.0,0.0,1.0,0.370086669921875,510.0
llama8b,ethernet,fifo,sharegpt_300,A6000,200586.40675537998,207.206306755,247538.67964257332,431809.395355,1054.17979874,300.0,83334.0,0.0,0.0,0.0,14011072512.0,0.0,14011072512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28022145024.0,26724.0,1.0,0.0,1.0,0.32068543451652387,216.0
llama8b,ethernet,harp,fixed_256,A6000,82071.80625541406,61.8420529921875,113673.09561383983,174289.24108915,96.68467379999998,256.0,131072.0,0.0,0.029713490704500977,0.0,8434745344.0,0.0,8434745344.0,0.0,0.0,0.0,8434745344.0,8434745344.0,8434745344.0,0.0,0.0,3887.0,130816.0,243.0,243.0,16869490688.0,16088.0,1.0,1.0,1.0,0.12274169921875,243.0
llama8b,ethernet,harp,sharegpt_300,A6000,35578.607091933336,44.853706216666666,46942.42960943333,72249.751431,93.27351175999999,300.0,83334.0,0.0,0.013139195992003276,0.0,6914310144.0,0.0,6914310144.0,0.0,0.0,0.0,6914310144.0,6914310144.0,6914310144.0,0.0,0.0,1091.0,83034.0,71.0,71.0,13828620288.0,13188.0,1.0,1.0,1.0,0.1582547339621283,71.0
llama8b,ethernet,largest_kv,fixed_256,A6000,565682.7208641992,350.73046832421875,744905.9904356913,1215605.9789886998,610.80131735,256.0,131072.0,0.0,0.0,0.0,28252831744.0,0.0,28252831744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56505663488.0,53888.0,1.0,0.0,1.0,0.4111328125,492.0
llama8b,ethernet,largest_kv,sharegpt_300,A6000,75399.72354739,79.22469979333333,92333.88859069666,158002.30823360998,266.87129896999994,300.0,83334.0,0.0,0.0,0.0,16886267904.0,0.0,16886267904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33772535808.0,32208.0,1.0,0.0,1.0,0.38649290805673553,95.0
llama8b,ethernet,lru,fixed_256,A6000,97325.04020657421,61.887463792968745,128949.5344565039,218325.27783334994,94.49950479999998,256.0,131072.0,0.0,0.0,0.0,7537164288.0,0.0,7537164288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15074328576.0,14376.0,1.0,0.0,1.0,0.10968017578125,299.0
llama8b,ethernet,lru,sharegpt_300,A6000,71311.78358610332,71.79392029333333,88306.81122139998,149637.84005899998,278.1889684699998,300.0,83334.0,0.0,0.0,0.0,6721372160.0,0.0,6721372160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13442744320.0,12820.0,1.0,0.0,1.0,0.1538387692898457,165.0
llama8b,ethernet,random,fixed_256,A6000,119815.35682966406,71.44814375390625,156325.35854745703,249255.67799089983,134.04928664999994,256.0,131072.0,0.0,0.0,0.0,10420748288.0,0.0,10420748288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20841496576.0,19876.0,1.0,0.0,1.0,0.151641845703125,275.0
llama8b,ethernet,random,sharegpt_300,A6000,87521.71201027333,108.26598759,109690.42603834,194855.56268357998,511.8162505299991,300.0,83334.0,0.0,0.0,0.0,7704936448.0,0.0,7704936448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15409872896.0,14696.0,1.0,0.0,1.0,0.17635058919528643,184.0
llama8b,ethernet,smallest_kv,fixed_256,A6000,92359.37481264063,53.34478678125,119618.56113432422,193776.57302825,92.47998789999995,256.0,131072.0,0.0,0.0,0.0,5825888256.0,0.0,5825888256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11651776512.0,11112.0,1.0,0.0,1.0,0.08477783203125,287.0
llama8b,ethernet,smallest_kv,sharegpt_300,A6000,95803.41715070333,129.04339863333334,122820.24297543333,223181.68068,680.8944084299997,300.0,83334.0,0.0,0.0,0.0,3435134976.0,0.0,3435134976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6870269952.0,6552.0,1.0,0.0,1.0,0.07862337101303189,426.0
llama8b,ethernet,tail,fixed_256,A6000,94056.02453244921,50.644386125,119935.30609522655,199392.2662654,91.77177514999995,256.0,131072.0,0.0,0.0,0.0,4649385984.0,0.0,4649385984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9298771968.0,8868.0,1.0,0.0,1.0,0.067657470703125,220.0
llama8b,ethernet,tail,sharegpt_300,A6000,62751.51292597333,61.39775872333333,77484.17754936332,130649.784867,263.4021370399998,300.0,83334.0,0.0,0.0,0.0,4735369216.0,0.0,4735369216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9470738432.0,9032.0,1.0,0.0,1.0,0.10838313293493652,181.0
llama8b,pcie_nvme,evicpress,fixed_256,A6000,120530.93430852343,62.18825725,152309.13402535938,241409.3785914,143.45305804999998,256.0,131072.0,0.0,0.0,36538679296.0,0.0,36538679296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73077358592.0,69692.0,1.0,0.0,1.0,0.531707763671875,640.0
llama8b,pcie_nvme,evicpress,sharegpt_300,A6000,89962.26382245333,104.817841,112923.71090870333,194339.612064,483.32724337999986,300.0,83334.0,0.0,0.0,3605004288.0,0.0,3605004288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7210008576.0,6876.0,1.0,0.0,1.0,0.08251133990928072,337.0
llama8b,pcie_nvme,fifo,fixed_256,A6000,686445.4435451427,532.7161041562499,958663.3730314961,1535339.7618654747,717.443972125,256.0,131072.0,0.0,0.0,0.0,25432162304.0,0.0,25432162304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50864324608.0,48508.0,1.0,0.0,1.0,0.370086669921875,510.0
llama8b,pcie_nvme,fifo,sharegpt_300,A6000,199861.15278550668,206.52254190999997,246663.22974951164,430283.3403575,1050.74739424,300.0,83334.0,0.0,0.0,0.0,14011072512.0,0.0,14011072512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28022145024.0,26724.0,1.0,0.0,1.0,0.32068543451652387,216.0
llama8b,pcie_nvme,harp,fixed_256,A6000,81446.85089566016,61.392541503906244,112818.43986428906,172892.05730115,96.04850949999998,256.0,131072.0,0.0,0.029713490704500977,0.0,8434745344.0,0.0,8434745344.0,0.0,0.0,0.0,8434745344.0,8434745344.0,8434745344.0,0.0,0.0,3887.0,130816.0,243.0,243.0,16869490688.0,16088.0,1.0,1.0,1.0,0.12274169921875,243.0
llama8b,pcie_nvme,harp,sharegpt_300,A6000,35030.36314685667,44.212351469999994,46254.79440994,71091.73413099999,90.37068301999997,300.0,83334.0,0.0,0.013139195992003276,0.0,6914310144.0,0.0,6914310144.0,0.0,0.0,0.0,6914310144.0,6914310144.0,6914310144.0,0.0,0.0,1091.0,83034.0,71.0,71.0,13828620288.0,13188.0,1.0,1.0,1.0,0.1582547339621283,71.0
llama8b,pcie_nvme,largest_kv,fixed_256,A6000,561700.0596738437,348.1724522304687,739616.1830256953,1206573.1875232,607.1209613999999,256.0,131072.0,0.0,0.0,0.0,28252831744.0,0.0,28252831744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56505663488.0,53888.0,1.0,0.0,1.0,0.4111328125,492.0
llama8b,pcie_nvme,largest_kv,sharegpt_300,A6000,72877.28525432,76.70496773666666,89296.19854377332,152349.82865860997,257.24222396999994,300.0,83334.0,0.0,0.0,0.0,16886267904.0,0.0,16886267904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33772535808.0,32208.0,1.0,0.0,1.0,0.38649290805673553,95.0
llama8b,pcie_nvme,lru,fixed_256,A6000,96168.37804872265,61.232591453124996,127458.23254060156,215643.33480744995,93.43540129999998,256.0,131072.0,0.0,0.0,0.0,7537164288.0,0.0,7537164288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15074328576.0,14376.0,1.0,0.0,1.0,0.10968017578125,299.0
llama8b,pcie_nvme,lru,sharegpt_300,A6000,70224.85689598665,70.91023926,87016.72030205667,147405.203185,275.1171489299998,300.0,83334.0,0.0,0.0,0.0,6721372160.0,0.0,6721372160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13442744320.0,12820.0,1.0,0.0,1.0,0.1538387692898457,165.0
llama8b,pcie_nvme,random,fixed_256,A6000,113787.87439973047,64.5935998515625,146795.20420371875,236145.8755811,124.23512944999993,256.0,131072.0,0.0,0.0,0.0,9669967872.0,0.0,9669967872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19339935744.0,18444.0,1.0,0.0,1.0,0.140716552734375,262.0
llama8b,pcie_nvme,random,sharegpt_300,A6000,78502.87794259333,88.18831951,98199.81278371665,169603.38201099998,329.4466847099999,300.0,83334.0,0.0,0.0,0.0,6763315200.0,0.0,6763315200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13526630400.0,12900.0,1.0,0.0,1.0,0.15479876160990713,152.0
llama8b,pcie_nvme,smallest_kv,fixed_256,A6000,91382.80113512109,52.866956828125,118397.81635077343,191790.88042924998,91.46395474999997,256.0,131072.0,0.0,0.0,0.0,5825888256.0,0.0,5825888256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11651776512.0,11112.0,1.0,0.0,1.0,0.08477783203125,287.0
llama8b,pcie_nvme,smallest_kv,sharegpt_300,A6000,95208.04703342999,128.40266426333332,122084.98421004333,221856.113975,678.2194192099996,300.0,83334.0,0.0,0.0,0.0,3435134976.0,0.0,3435134976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6870269952.0,6552.0,1.0,0.0,1.0,0.07862337101303189,426.0
llama8b,pcie_nvme,tail,fixed_256,A6000,93157.69470089843,50.26635326953125,118843.8014875625,197744.68354839997,90.75109274999997,256.0,131072.0,0.0,0.0,0.0,4649385984.0,0.0,4649385984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9298771968.0,8868.0,1.0,0.0,1.0,0.067657470703125,220.0
llama8b,pcie_nvme,tail,sharegpt_300,A6000,62013.931671353326,60.81829612333333,76601.04076807665,129075.377513,261.4537819099998,300.0,83334.0,0.0,0.0,0.0,4735369216.0,0.0,4735369216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9470738432.0,9032.0,1.0,0.0,1.0,0.10838313293493652,181.0
llama8b,ssd,evicpress,fixed_256,A6000,120530.93430852343,62.18825725,152309.13402535938,241409.3785914,143.45305804999998,256.0,131072.0,0.0,0.0,36538679296.0,0.0,36538679296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73077358592.0,69692.0,1.0,0.0,1.0,0.531707763671875,640.0
llama8b,ssd,evicpress,sharegpt_300,A6000,89962.26382245333,104.817841,112923.71090870333,194339.612064,483.32724337999986,300.0,83334.0,0.0,0.0,3605004288.0,0.0,3605004288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7210008576.0,6876.0,1.0,0.0,1.0,0.08251133990928072,337.0
llama8b,ssd,fifo,fixed_256,A6000,686750.7467897148,532.9535675488281,959090.0200530312,1536028.1401998498,717.763295625,256.0,131072.0,0.0,0.0,0.0,25432162304.0,0.0,25432162304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50864324608.0,48508.0,1.0,0.0,1.0,0.370086669921875,510.0
llama8b,ssd,fifo,sharegpt_300,A6000,200051.38117234665,206.70141758333332,246892.87778494,430681.7970865,1051.64200274,300.0,83334.0,0.0,0.0,0.0,14011072512.0,0.0,14011072512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28022145024.0,26724.0,1.0,0.0,1.0,0.32068543451652387,216.0
llama8b,ssd,harp,fixed_256,A6000,80916.07074869922,61.0044491171875,112089.34450503124,171688.07364314998,95.53472899999998,256.0,131072.0,0.0,0.029713490704500977,0.0,8434745344.0,0.0,8434745344.0,0.0,0.0,0.0,8434745344.0,8434745344.0,8434745344.0,0.0,0.0,3887.0,130816.0,243.0,243.0,16869490688.0,16088.0,1.0,1.0,1.0,0.12274169921875,243.0
